Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Prefixado;01/07/2024;26/04/2022;12,35;12,47;777;774,85;774,85
Tesouro Prefixado;01/01/2029;26/04/2022;12,06;12,18;468,3;464,76;464,76
Tesouro Prefixado com Juros Semestrais;01/01/2025;26/04/2022;12,12;12,24;985,61;982,69;982,69
Tesouro IPCA+ com Juros Semestrais;15/05/2035;26/04/2022;5,57;5,69;4185,1;4140,17;4140,17
Tesouro Prefixado;01/01/2026;26/04/2022;11,94;12,06;659,8;656,9;656,9
Tesouro Selic;01/03/2025;26/04/2022;0,13;0,14;11547,66;11539,22;11539,22
Tesouro Prefixado com Juros Semestrais;01/01/2027;26/04/2022;11,99;12,11;964,41;960,15;960,15
Tesouro IPCA+;15/08/2024;26/04/2022;5,49;5,61;3470,17;3459,49;3459,49
Tesouro IPCA+;15/05/2045;26/04/2022;5,61;5,73;1119,27;1089,92;1089,92
Tesouro IPCA+ com Juros Semestrais;15/08/2032;26/04/2022;5,52;5,64;4115,34;4077,08;4077,08
Tesouro IPCA+ com Juros Semestrais;15/08/2030;26/04/2022;5,44;5,56;4115,03;4082,26;4082,26
Tesouro IPCA+ com Juros Semestrais;15/08/2040;26/04/2022;5,61;5,73;4145,24;4089,96;4089,96
Tesouro IPCA+ com Juros Semestrais;15/08/2050;26/04/2022;5,74;5,86;4116,9;4049,78;4049,78
Tesouro Selic;01/03/2027;26/04/2022;0,21;0,22;11475,73;11465,05;11465,05
Tesouro Prefixado;01/07/2024;24/03/2022;12,38;12,5;769,04;766,83;766,83
Tesouro Prefixado;01/01/2029;24/03/2022;12,03;12,15;464,71;461,16;461,16
Tesouro Prefixado;01/01/2026;24/03/2022;11,93;12,05;653,85;650,92;650,92
Tesouro Prefixado com Juros Semestrais;01/01/2027;24/03/2022;11,87;11,99;959,25;954,92;954,92
Tesouro IPCA+;15/05/2045;24/03/2022;5,63;5,75;1091,63;1062,86;1062,86
Tesouro IPCA+ com Juros Semestrais;15/08/2030;24/03/2022;5,56;5,68;4000,93;3968,56;3968,56
Tesouro IPCA+ com Juros Semestrais;15/08/2040;24/03/2022;5,66;5,78;4038,55;3984,24;3984,24
Tesouro IPCA+ com Juros Semestrais;15/08/2050;24/03/2022;5,73;5,85;4037,85;3971,4;3971,4
Tesouro Selic;01/03/2027;24/03/2022;0,17;0,18;11387,78;11377,1;11377,1
Tesouro Prefixado com Juros Semestrais;01/01/2023;15/02/2022;12,42;12,54;994,11;992,75;992,75
Tesouro Prefixado;01/01/2025;15/02/2022;11,45;11,57;733,01;730,43;730,43
Tesouro Prefixado com Juros Semestrais;01/01/2029;15/02/2022;11,5;11,62;947,22;941,72;941,72
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/02/2022;5,63;5,75;3847,7;3835,41;3835,41
Tesouro IPCA+;15/08/2026;15/02/2022;5,29;5,41;3025,33;3008,33;3008,33
Tesouro IPCA+ com Juros Semestrais;15/05/2055;15/02/2022;5,65;5,77;4076,6;4005,62;4005,62
Tesouro Selic;01/03/2023;15/02/2022;0,02;0,03;11365,27;11359,49;11359,49
Tesouro IPCA+;15/05/2035;15/02/2022;5,63;5,75;1850,94;1822,45;1822,45
Tesouro Prefixado;01/01/2023;15/02/2022;12,41;12,53;903,33;902,07;902,07
Tesouro Prefixado;01/07/2024;15/02/2022;11,71;11,83;770,94;768,65;768,65
Tesouro Prefixado;01/01/2026;15/02/2022;11,34;11,46;659,93;656,91;656,91
Tesouro Prefixado com Juros Semestrais;01/01/2027;15/02/2022;11,24;11,36;969,77;965,28;965,28
Tesouro IPCA+;15/05/2045;15/02/2022;5,63;5,75;1071,96;1043,58;1043,58
Tesouro IPCA+ com Juros Semestrais;15/08/2030;15/02/2022;5,53;5,65;3936,69;3904,32;3904,32
Tesouro IPCA+ com Juros Semestrais;15/08/2040;15/02/2022;5,62;5,74;3983,12;3928,96;3928,96
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/02/2022;5,67;5,79;3997,12;3930,58;3930,58
Tesouro Selic;01/03/2027;15/02/2022;0,21;0,22;11248,94;11238,66;11238,66
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/02/2022;5,67;5,79;4037,7;3977;3977
Tesouro IGPM+ com Juros Semestrais;01/01/2031;15/02/2022;5,53;5,65;8901,79;8832,92;8832,92
Tesouro IPCA+ com Juros Semestrais;15/08/2026;15/02/2022;5,33;5,45;3913,62;3893,75;3893,75
Tesouro Selic;01/09/2024;15/02/2022;0,07;0,08;11349,12;11341,62;11341,62
Tesouro Prefixado com Juros Semestrais;01/01/2031;15/02/2022;11,54;11,66;933,66;927,35;927,35
Tesouro Prefixado com Juros Semestrais;01/01/2025;15/02/2022;11,35;11,47;982,21;979,11;979,11
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/02/2022;5,6;5,72;4015,52;3971,37;3971,37
Tesouro Selic;01/03/2025;15/02/2022;0,1;0,11;11334,81;11326,73;11326,73
Tesouro IPCA+;15/08/2024;15/02/2022;5,6;5,72;3330,19;3319,04;3319,04
Tesouro Prefixado com Juros Semestrais;01/01/2033;24/03/2022;12,14;12,26;901,95;895,36;895,36
Tesouro IPCA+ com Juros Semestrais;15/05/2045;24/03/2022;5,73;5,85;4082,2;4021,54;4021,54
Tesouro IGPM+ com Juros Semestrais;01/01/2031;24/03/2022;5,55;5,67;9132,73;9063,55;9063,55
Tesouro IPCA+ com Juros Semestrais;15/08/2026;24/03/2022;5,34;5,46;3982,83;3963,12;3963,12
Tesouro Selic;01/09/2024;24/03/2022;0,03;0,04;11476,67;11468,81;11468,81
Tesouro Prefixado com Juros Semestrais;01/01/2031;24/03/2022;12,11;12,23;916,43;910,39;910,39
